datetime,home_team,away_team,home_goal,away_goal,season,round,saldo_casa,saldo_casa_contra,saldo_visitante,saldo_visitante_contra,result
2012-08-18T21:00:00Z,Sao Paulo-SP,Ponte Preta-SP,3,0,2012,18,27,23,19,25,3
2012-08-19T16:00:00Z,Santos-SP,Corinthians-SP,3,2,2012,18,21,22,19,18,3
2012-08-19T16:00:00Z,Atletico-MG,Botafogo-RJ,3,2,2012,18,32,13,30,24,3
2012-08-19T16:00:00Z,Coritiba-PR,Cruzeiro-MG,4,0,2012,18,30,34,22,25,3
2012-08-19T16:00:00Z,Gremio-RS,Figueirense-SC,4,0,2012,18,28,16,15,32,3
2012-08-19T18:30:00Z,Atletico-GO,Palmeiras-SP,2,1,2012,18,19,32,17,21,3
2012-08-19T18:30:00Z,Portuguesa-SP,Internacional-RS,1,1,2012,18,16,19,22,14,1
2012-08-19T18:30:00Z,Flamengo-RJ,Vasco da Gama-RJ,1,0,2012,18,23,23,24,15,3
2012-08-25T18:30:00Z,Vasco da Gama-RJ,Fluminense-RJ,1,2,2012,19,25,17,31,11,0
2012-08-25T18:30:00Z,Palmeiras-SP,Santos-SP,1,2,2012,19,18,23,23,23,0
2012-08-25T21:00:00Z,Ponte Preta-SP,Portuguesa-SP,2,1,2012,19,21,26,17,21,3
2012-08-26T16:00:00Z,Internacional-RS,Gremio-RS,0,1,2012,19,22,15,29,16,0
2012-08-26T16:00:00Z,Botafogo-RJ,Flamengo-RJ,0,0,2012,19,30,24,23,23,1
2012-08-26T16:00:00Z,Corinthians-SP,Sao Paulo-SP,1,2,2012,19,20,20,29,24,0
2012-08-26T16:00:00Z,Figueirense-SC,Coritiba-PR,3,1,2012,19,18,33,31,37,3
2012-08-26T18:30:00Z,Cruzeiro-MG,Atletico-MG,2,2,2012,19,24,27,34,15,1
2012-08-26T18:30:00Z,Sport-PE,Nautico-PE,0,0,2012,19,13,26,24,29,1
2012-08-26T18:30:00Z,Bahia-BA,Atletico-GO,1,1,2012,19,15,24,20,33,1
